correction_rotation_max_deg,correction_rotation_mean_deg,correction_translation_max_a,correction_translation_mean_a,geometry,geometry_angle_c_n_ca,geometry_angle_ca_c_n,geometry_bond,grad_norm,overlap,primary,primary_coarse,rotation_at_cap_fraction,rotation_error_deg,rotation_error_deg_coarse,series,step,total,translation_at_cap_fraction,translation_rmse_a,translation_rmse_a_coarse
0.0,0.0,0.0,0.0,1.2913603782653809,0.5866575837135315,0.5182555317878723,0.18644730746746063,2.2596871852874756,0.0020430281292647123,4.243076324462891,4.243076324462891,0.0,50.289913177490234,50.289913177490234,train,1,5.534640789031982,0.0,6.710516452789307,6.710516452789307
1.2868759632110596,0.9408071041107178,0.026004305109381676,0.018749728798866272,0.49455299973487854,0.21946612000465393,0.18575792014598846,0.08932894468307495,1.0076282024383545,0.000304715009406209,1.8530964851379395,1.852539300918579,0.0,29.533023834228516,29.521591186523438,train,2,2.34768009185791,0.0,3.4197998046875,3.41911244392395
2.399111270904541,1.9361921548843384,0.052646901458501816,0.0416976697742939,0.13353490829467773,0.0489300936460495,0.042633287608623505,0.04197153449058533,0.46408119797706604,0.00011059498501708731,0.9860841035842896,0.9851618409156799,0.0,21.529924392700195,21.47936248779297,train,3,1.1196300983428955,0.0,1.9876580238342285,1.9864506721496582
5.06587028503418,3.162991762161255,0.10750386863946915,0.07373714447021484,1.3546762466430664,0.6212650537490845,0.5176144242286682,0.21579678356647491,2.973729372024536,0.002042194362729788,4.229645252227783,4.223370552062988,0.0,52.03166961669922,51.90574645996094,train,4,5.5845255851745605,0.0,5.487184524536133,5.481478691101074
5.989213943481445,4.484715461730957,0.13473179936408997,0.1069750189781189,0.6340460777282715,0.2622999846935272,0.22292998433113098,0.14881610870361328,1.725422978401184,0.0007346324855461717,3.4099106788635254,3.396989345550537,0.0,44.162567138671875,43.94727325439453,train,5,4.04403018951416,0.0,5.532003402709961,5.5267205238342285
7.0295562744140625,5.1847357749938965,0.18470638990402222,0.13909325003623962,0.2804275155067444,0.1077151745557785,0.08960345387458801,0.08310888707637787,1.0607179403305054,0.00036868624738417566,1.6249045133590698,1.6076380014419556,0.0,29.155561447143555,28.743993759155273,train,6,1.9053689241409302,0.0,2.5511317253112793,2.5466198921203613
7.6517720222473145,5.149062633514404,0.24945801496505737,0.17291074991226196,0.23187020421028137,0.08617716282606125,0.07612694799900055,0.06956610083580017,1.419165015220642,0.00015451802755706012,1.4922657012939453,1.4736924171447754,0.0,26.29290771484375,25.83893585205078,train,7,1.724151372909546,0.0,2.8255789279937744,2.8108303546905518
7.772082805633545,4.9848785400390625,0.339934378862381,0.21855174005031586,0.6348848342895508,0.26598766446113586,0.23857952654361725,0.13031762838363647,1.2124093770980835,0.0007284581079147756,3.0749688148498535,3.0612568855285645,0.0,39.14485549926758,38.85442352294922,train,8,3.7099266052246094,0.0,5.35882043838501,5.349017143249512
7.973239421844482,3.9249463081359863,0.4309022128582001,0.2412634789943695,0.8496415019035339,0.3487688899040222,0.30610600113868713,0.1947665959596634,1.1729916334152222,0.0015535278944298625,3.595628261566162,3.5860743522644043,0.0,43.11270523071289,42.99873733520508,train,9,4.445425033569336,0.0,6.029898643493652,6.017249584197998
4.775790214538574,2.836890459060669,0.4350881576538086,0.27713337540626526,0.6824014186859131,0.30398765206336975,0.2659152150154114,0.11249852925539017,0.6618592739105225,0.0007941820076666772,2.6516060829162598,2.640484571456909,0.0,35.546390533447266,35.526222229003906,train,10,3.3340868949890137,0.0,4.737990856170654,4.716392993927002
